year,id,question,score,status,H,C,T,D,B,band,K,R,A,V,P,I,mark
2023,21(1),21,,已核验（数学推导；非官方真伪认证）,25,10,20,19,1,基础,0,1,0,1,0,1,
2023,21(2),21,,已核验（数学推导；非官方真伪认证）,30,16,20,23,1,基础,1,1,0,0,1,0,
2023,21(3),21,,已核验（数学推导；非官方真伪认证）,78,64,100,78,3,难题,2,2,1,0,2,2,
2024,1,1,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2024,2,2,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2024,3,3,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2024,4,4,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2024,5,5,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2024,6,6,4,已核验（数学推导；非官方真伪认证）,10,3,10,8,1,基础,1,0,0,0,0,0,
2024,7,7,5,已核验（数学推导；非官方真伪认证）,8,5,10,7,0,基础,0,0,0,1,1,0,
2024,8,8,5,已核验（数学推导；非官方真伪认证）,20,6,10,13,0,基础,0,1,0,1,0,0,
2024,9,9,5,已核验（数学推导；非官方真伪认证）,30,16,20,23,1,基础,1,1,1,0,1,0,
2024,10,10,5,已核验（数学推导；非官方真伪认证）,45,25,60,41,2,中档,2,2,1,0,1,0,
2024,11,11,5,已核验（数学推导；非官方真伪认证）,45,25,50,39,1,中档,1,1,1,1,1,0,
2024,12,12,5,已核验（数学推导；非官方真伪认证）,78,52,90,71,3,难题,2,2,1,1,2,2,
2024,13,13,4,已核验（数学推导；非官方真伪认证）,0,0,10,2,0,基础,0,0,0,0,0,0,
2024,14,14,4,已核验（数学推导；非官方真伪认证）,18,6,20,14,0,基础,1,0,0,0,1,0,规则分可能低估，需教师复核
2024,15,15,5,已核验（数学推导；非官方真伪认证）,43,34,60,43,2,中档,1,2,0,1,1,0,
2024,16,16,5,已核验（数学推导；非官方真伪认证）,75,50,90,69,3,难题,2,2,1,1,2,0,规则分可能低估，需教师复核
2024,17(1),17,,已核验（数学推导；非官方真伪认证）,30,13,20,22,0,基础,1,1,0,0,1,0,
2024,17(2),17,,已核验（数学推导；非官方真伪认证）,50,33,50,44,2,中档,1,2,1,0,1,1,
2024,18(1),18,,已核验（数学推导；非官方真伪认证）,20,9,10,14,1,基础,0,1,0,1,0,0,
2024,18(2),18,,已核验（数学推导；非官方真伪认证）,58,37,50,49,1,中档,1,2,1,1,1,0,
2024,19(1),19,,已核验（数学推导；非官方真伪认证）,20,6,10,13,0,基础,0,1,0,1,0,0,
2024,19(2),19,,已核验（数学推导；非官方真伪认证）,20,6,0,11,0,基础,0,1,0,1,0,0,
2024,19(3),19,,已核验（数学推导；非官方真伪认证）,38,21,30,30,1,基础,1,1,1,1,1,0,
2024,20(1),20,,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2024,20(2),20,,已核验（数学推导；非官方真伪认证）,58,34,60,50,1,中档,1,2,1,1,1,0,规则分可能低估，需教师复核
2024,20(3),20,,答案冲突／待核验,,,,,,待复核,,,,,,,冲突单元，剔除有效均值
2024,21(1),21,,已核验（数学推导；非官方真伪认证）,18,6,20,14,1,基础,1,0,0,0,1,0,
2024,21(2),21,,已核验（数学推导；非官方真伪认证）,43,30,50,40,1,中档,1,2,0,1,1,1,
2024,21(3),21,,已核验（数学推导；非官方真伪认证）,85,58,90,77,3,难题,2,2,1,1,2,2,
2025,1,1,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2025,2,2,4,已核验（数学推导；非官方真伪认证）,18,6,10,12,0,基础,1,0,0,0,1,0,
2025,3,3,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2025,4,4,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2025,5,5,4,已核验（数学推导；非官方真伪认证）,8,2,10,6,0,基础,0,0,0,0,1,0,
2025,6,6,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2025,7,7,5,答案冲突／待核验,,,,,,待复核,,,,,,,冲突单元，剔除有效均值
2025,8,8,5,已核验（数学推导；非官方真伪认证）,30,19,50,30,1,基础,1,1,0,0,1,0,
2025,9,9,5,已核验（数学推导；非官方真伪认证）,23,7,10,15,1,基础,1,1,0,0,0,0,
2025,10,10,5,答案冲突／待核验,,,,,,待复核,,,,,,,冲突单元，剔除有效均值
2025,11,11,5,答案冲突／待核验,,,,,,待复核,,,,,,,冲突单元，剔除有效均值
2025,12,12,5,答案冲突／待核验,,,,,,待复核,,,,,,,冲突单元，剔除有效均值
2025,13,13,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2025,14,14,4,答案冲突／待核验,,,,,,待复核,,,,,,,冲突单元，剔除有效均值
2025,15,15,5,已核验（数学推导；非官方真伪认证）,43,24,60,40,2,中档,1,2,1,1,1,0,
2025,16,16,5,已核验（数学推导；非官方真伪认证）,68,43,70,60,2,中档,2,2,1,0,2,0,
2025,17(1),17,,已核验（数学推导；非官方真伪认证）,8,2,10,6,0,基础,0,0,0,0,1,0,
2025,17(2),17,,答案冲突／待核验,,,,,,待复核,,,,,,,冲突单元，剔除有效均值
2025,17(3),17,,已核验（数学推导；非官方真伪认证）,30,19,20,24,1,基础,1,1,1,1,1,0,
2025,18(1),18,,已核验（数学推导；非官方真伪认证）,20,6,10,13,0,基础,0,1,0,1,0,0,
2025,18(2),18,,已核验（数学推导；非官方真伪认证）,58,29,50,46,2,中档,1,2,1,1,1,0,
2025,19(1),19,,已核验（数学推导；非官方真伪认证）,30,13,20,22,1,基础,1,1,0,0,1,0,
2025,19(2),19,,已核验（数学推导；非官方真伪认证）,58,34,70,52,2,中档,1,2,1,0,2,0,规则分可能低估，需教师复核
2025,20(1),20,,已核验（数学推导；非官方真伪认证）,8,2,0,4,0,基础,0,0,0,0,1,0,
2025,20(2),20,,已核验（数学推导；非官方真伪认证）,30,19,20,24,1,基础,1,1,0,1,1,0,
2025,20(3),20,,已核验（数学推导；非官方真伪认证）,75,55,70,67,2,难题,1,2,2,1,2,2,
2025,21(1),21,,已核验（数学推导；非官方真伪认证）,8,2,0,4,0,基础,0,0,0,0,1,0,
2025,21(2),21,,已核验（数学推导；非官方真伪认证）,58,48,70,57,2,中档,1,2,1,1,2,0,
2025,21(3),21,,答案冲突／待核验,,,,,,待复核,,,,,,,冲突单元，剔除有效均值
2026,1,1,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2026,2,2,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2026,3,3,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2026,4,4,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2026,5,5,4,已核验（数学推导；非官方真伪认证）,0,0,0,0,0,基础,0,0,0,0,0,0,
2026,6,6,4,已核验（数学推导；非官方真伪认证）,10,3,10,8,0,基础,1,0,0,0,0,0,
2026,7,7,5,已核验（数学推导；非官方真伪认证）,30,10,20,21,1,基础,1,1,0,0,1,0,
2026,8,8,5,已核验（数学推导；非官方真伪认证）,8,2,10,6,0,基础,0,0,0,0,1,0,
2026,9,9,5,已核验（数学推导；非官方真伪认证）,50,25,60,43,2,中档,1,2,0,0,2,0,
2026,10,10,5,已核验（数学推导；非官方真伪认证）,50,34,50,44,2,中档,1,2,1,1,1,0,
2026,11,11,5,已核验（数学推导；非官方真伪认证）,45,33,60,44,1,中档,1,1,1,1,1,0,
2026,12,12,5,已核验（数学推导；非官方真伪认证）,73,52,80,67,2,难题,1,2,2,1,2,0,规则分可能低估，需教师复核
2026,13,13,4,已核验（数学推导；非官方真伪认证）,8,2,10,6,0,基础,0,0,0,0,1,0,
2026,14,14,4,已核验（数学推导；非官方真伪认证）,8,2,10,6,0,基础,0,0,0,1,0,0,
2026,15,15,5,已核验（数学推导；非官方真伪认证）,58,30,60,49,2,中档,1,2,1,1,2,0,
2026,16,16,5,已核验（数学推导；非官方真伪认证）,78,52,90,71,3,难题,2,2,1,1,2,2,
2026,17(1),17,,已核验（数学推导；非官方真伪认证）,8,2,10,6,0,基础,0,0,0,0,1,0,
2026,17(2),17,,已核验（数学推导；非官方真伪认证）,20,6,10,13,0,基础,0,1,0,1,0,0,
2026,17(3),17,,已核验（数学推导；非官方真伪认证）,30,23,50,32,1,基础,1,1,1,1,1,0,
2026,18(1),18,,已核验（数学推导；非官方真伪认证）,38,21,40,32,1,基础,1,1,1,1,0,0,
2026,18(2),18,,已核验（数学推导；非官方真伪认证）,58,25,50,45,1,中档,1,2,1,1,1,1,
2026,19(1),19,,已核验（数学推导；非官方真伪认证）,8,5,10,7,0,基础,0,0,0,0,1,0,
2026,19(2),19,,已核验（数学推导；非官方真伪认证）,68,56,80,66,2,难题,1,2,1,1,2,2,
2026,20(1),20,,已核验（数学推导；非官方真伪认证）,8,2,0,4,0,基础,0,0,0,1,0,0,
2026,20(2),20,,已核验（数学推导；非官方真伪认证）,43,19,20,30,1,基础,1,1,1,1,0,1,
2026,20(3),20,,已核验（数学推导；非官方真伪认证）,93,66,100,85,3,难题,2,2,2,1,2,2,
2026,21(1),21,,已核验（数学推导；非官方真伪认证）,38,14,20,26,1,基础,1,1,0,1,1,0,
2026,21(2),21,,已核验（数学推导；非官方真伪认证）,65,33,60,53,2,中档,1,2,1,1,2,0,规则分可能低估，需教师复核
2026,21(3),21,,已核验（数学推导；非官方真伪认证）,85,67,100,82,3,难题,2,2,2,0,2,2,
